Symbol,Name,Country,Sector,Exchange
ES=F,S&P Futures,USA,Financials,CME
YM=F,Dow Futures,USA,Financials,CBOT
NQ=F,Nasdaq Futures,USA,Technology,CME
RTY=F,Russell 2000 Futures,USA,Financials,CME
ZB=F,U.S. Treasury Bond Futures,USA,Financials,CBOT
ZN=F,10-Year T-Note Futures,USA,Financials,CBOT
ZF=F,Five-Year US Treasury Note,USA,Financials,CBOT
ZT=F,2-Year T-Note Futures,USA,Financials,CBOT
GC=F,Gold,Global,Commodities,COMEX
MGC=F,Micro Gold Futures,Global,Commodities,COMEX
SI=F,Silver,Global,Commodities,COMEX
SIL=F,Micro Silver Futures,Global,Commodities,COMEX
PL=F,Platinum,Global,Commodities,NYMEX
HG=F,Copper,Global,Commodities,COMEX
PA=F,Palladium,Global,Commodities,NYMEX
CL=F,Crude Oil,Global,Energy,NYMEX
HO=F,Heating Oil,Global,Energy,NYMEX
NG=F,Natural Gas,Global,Energy,NYMEX
RB=F,RBOB Gasoline,Global,Energy,NYMEX
BZ=F,Brent Crude Oil Last,Global,Energy,ICE
BO=F,Mont Belvieu LDH Propane,Global,Energy,NYMEX
ZC=F,Corn Futures,Global,Agriculture,CBOT
ZO=F,Oat Futures,Global,Agriculture,CBOT
KE=F,KC HRW Wheat Futures,Global,Agriculture,CBOT
ZR=F,Rough Rice Futures,Global,Agriculture,CBOT
ZM=F,S&P Composite 1500,Global,Index,CME
ZL=F,Soybean Oil Futures,Global,Agriculture,CBOT
ZS=F,Soybean Futures,Global,Agriculture,CBOT
GF=F,WisdomTree International,Global,ETFs,CME
HE=F,Lean Hogs Futures,Global,Agriculture,CME
LE=F,Live Cattle Futures,Global,Agriculture,CME
CC=F,Cocoa,Global,Softs,ICE
KC=F,Coffee,Global,Softs,ICE
CT=F,Cotton,Global,Softs,ICE
LBS=F,Random Length Lumber,Global,Softs,CME
OJ=F,Orange Juice,Global,Softs,ICE
SB=F,Sugar,Global,Softs,ICE
6A=F,Australian Dollar Futures,AUD,Forex,CME
6B=F,British Pound Futures,GBP,Forex,CME
6C=F,Canadian Dollar Futures,CAD,Forex,CME
6N=F,New Zealand Dollar Futures,NZD,Forex,CME
BTC=F,Bitcoin Futures,CRYPTO,Cryptocurrency,CME
ET=F,Ethereum Futures,CRYPTO,Cryptocurrency,CME
QM=F,E-mini NASDAQ-100 Futures,USD,Equity,CME
VB=F,E-mini Russell 2000 Futures,USD,Equity,CME